Брест 1708
Вильнюс 1509
Витебск 1194
Волгоград 848
Воронеж 792
Даугавпилс 1407
Донецк 1163
Житомир 1498
Казань 0
Калининград 1808
Каунас 1591
Киев 1368
Кишинев 1707
Минск 1395
Москва 720
Мурманск 1674
Ниж.Новгород 318
Одесса 1637
Орел 900
Рига 1539
С.Петербург 1200
Самара 290
Симферополь 1606
Таллинн 1498
Уфа 453
Харьков 1076
Ярославль 596
